"order_purchase_timestamp","product_category_name_english","sales_volume","revenue","yhat"
2017-01-05,"auto",2,21.8,2.01180783315596
2017-01-05,"baby",2,21.8,1.33908554817461
2017-01-05,"garden_tools",1,65,3.09269765935728
2017-01-05,"toys",2,43.8,1.87994232228001
2017-01-06,"health_beauty",1,636,2.25994819713483
2017-01-06,"toys",1,159.99,0.682000728368026
2017-01-07,"cool_stuff",3,1197,1.83367865556254
2017-01-07,"furniture_decor",1,34.9,9.43504840410857
2017-01-07,"health_beauty",1,370,1.91447622832666
2017-01-07,"watches_gifts",1,149,-0.433416992083906
2017-01-08,"bed_bath_table",1,68.9,1.27656438417247
2017-01-08,"furniture_decor",2,259.8,6.36979944363169
2017-01-08,"garden_tools",1,239.9,2.52627961068853
2017-01-09,"cool_stuff",1,349.99,2.49387235014916
2017-01-09,"furniture_decor",3,115.5,10.1157538117993
2017-01-09,"health_beauty",1,109.9,2.63642663109233
2017-01-09,"sports_leisure",1,129,3.89300587872318
2017-01-10,"bed_bath_table",2,114.8,2.54466911457049
2017-01-10,"cool_stuff",1,176,2.72756802970973
2017-01-10,"furniture_decor",1,64.9,9.5871262689024
2017-01-10,"garden_tools",1,380,3.21979485773206
2017-01-10,"watches_gifts",1,699.17,-0.62892121033982
2017-01-11,"baby",1,119.9,1.74873647919795
2017-01-11,"furniture_decor",1,17.5,10.2801537742391
2017-01-11,"garden_tools",3,1140,8.03725819047019
2017-01-11,"sports_leisure",1,209.9,3.89827826971426
2017-01-11,"telephony",1,755.99,3.76644246081037
2017-01-11,"toys",2,294.89,1.81789234971968
2017-01-11,"watches_gifts",1,129,-0.415734576146885
2017-01-12,"baby",1,59.9,2.04240267349731
2017-01-12,"computers_accessories",5,564.45,2.16754733876872
2017-01-12,"furniture_decor",6,759.4,13.0805456737207
2017-01-12,"housewares",1,19.9,4.28450391641646
2017-01-12,"telephony",2,766.48,3.91859538298473
2017-01-13,"bed_bath_table",1,69.9,2.21577858004296
2017-01-13,"furniture_decor",2,159.8,15.2054313708271
2017-01-13,"garden_tools",3,1140,2.37047801274226
2017-01-13,"health_beauty",2,244.89,3.31177189780362
2017-01-13,"housewares",1,498.99,3.28868957621223
2017-01-13,"sports_leisure",1,113,3.49153508282351
2017-01-13,"watches_gifts",1,279,-0.264442802061438
2017-01-14,"bed_bath_table",1,65.9,1.38424850272052
2017-01-14,"furniture_decor",9,498.4,7.74678087763176
2017-01-14,"sports_leisure",4,357.7,2.58226644804833
2017-01-15,"bed_bath_table",1,48.9,2.37588746151398
2017-01-15,"cool_stuff",1,38.9,2.6719583996651
2017-01-15,"furniture_decor",27,884.1,10.7149874413533
2017-01-15,"garden_tools",2,760,5.55691728605439
2017-01-15,"health_beauty",1,349.9,3.45263106428027
2017-01-15,"sports_leisure",1,183.9,2.48245278046213
2017-01-15,"telephony",3,31.47,2.39548177273382
2017-01-15,"toys",1,159.9,1.12734029102205
2017-01-16,"auto",3,970.39,3.55194060264168
2017-01-16,"cool_stuff",1,629,2.91545256965267
2017-01-16,"electronics",1,39,1.74454192896081
2017-01-16,"furniture_decor",11,1044.9,11.9039000247252
2017-01-16,"health_beauty",3,719.98,3.30808796734551
2017-01-16,"sports_leisure",1,28,4.20150597343093
2017-01-16,"telephony",1,14.97,2.95555655224757
2017-01-17,"auto",1,109.2,3.24663571735946
2017-01-17,"baby",1,134.17,2.23400658293858
2017-01-17,"bed_bath_table",1,48.9,2.73144088457111
2017-01-17,"cool_stuff",1,66.9,3.24034727887464
2017-01-17,"electronics",4,155.7,1.94442156188897
2017-01-17,"furniture_decor",7,599,14.0283397437789
2017-01-17,"garden_tools",1,157,2.68153528770942
2017-01-17,"health_beauty",1,349.9,3.9619412780799
2017-01-17,"perfumery",4,102.6,3.51882842352235
2017-01-17,"sports_leisure",12,654.5,4.46027213682183
